product_code,sku_code,merchant_code
EZ.04.015.TH,sku41615103034963,LZC.TH
EZ.04.104,sku01615194153441,EZT.TH
EZ.04.065,sku01615256479529,EZT.TH
EZ.04.082,sku01615256692749,MPH.12
EZ.04.082,sku01615256692749,MPH.11
EZ.04.082,sku01615256692749,MPH.10
EZ.04.066,sku01615259997900,EZT.TH
EZ.04.015.TH,sku51615278268440,AMZ.TH
EZ.04.015.TH,sku51615278268440,EZT.TH
EZ.04.015.TH,sku51615278268440,LZC.TH
EZ.04.023.TH,sku01615343153519,EZT.TH
EZ.04.023.TH,sku01615343153519,LZC.TH
EZ.04.023.TH,sku11615343153527,EZT.TH
EZ.04.023.TH,sku11615343153527,LZC.TH
EZ.04.112,sku01615358869434,ARN.TH
EZ.04.059.TH,sku01615360666880,ARN.TH
EZ.04.059.TH,sku11615360666899,ARN.TH
EZ.04.068,sku01615519238269,EZT.TH
EZ.04.073,sku11615522023364,MPH.12
EZ.04.073,sku11615522023364,MPH.11
EZ.04.073,sku11615522023364,MPH.10
EZ.04.073,sku21615522023372,MPH.12
EZ.04.073,sku21615522023372,MPH.11
EZ.04.073,sku21615522023372,MPH.10
EZ.04.073,sku31615522023383,MPH.12
EZ.04.073,sku31615522023383,MPH.11
EZ.04.073,sku31615522023383,MPH.10
EZ.04.073,sku41615522023395,MPH.12
EZ.04.073,sku41615522023395,MPH.11
EZ.04.073,sku41615522023395,MPH.10
EZ.04.069,sku01615524090151,EZT.TH
EZ.04.069,sku01615524090151,LZC.TH
EZ.04.069,sku11615524368585,EZT.TH
EZ.04.069,sku11615524368585,LZC.TH
EZ.04.069,sku21615524368593,EZT.TH
EZ.04.069,sku21615524368593,LZC.TH
EZ.04.069,sku31615524368600,EZT.TH
EZ.04.069,sku31615524368600,LZC.TH
EZ.04.070,sku01615524765136,EZT.TH
EZ.04.071,sku01615609523813,EZT.TH
EZ.04.086,sku01615617414891,LZC.PH
EZ.04.086,sku01615617414891,CPO.PH
EZ.04.087,sku01615618389816,CPO.PH
EZ.04.072,sku01615621051582,EZT.TH
EZ.04.050.TH,sku01615687130169,EZT.TH
EZ.04.092,sku01615791799794,LZC.PH
EZ.04.092,sku01615791799794,CPO.PH
EZ.04.092,sku01615791799794,AMZ.PH
EZ.04.092,sku11615803021727,LZC.PH
EZ.04.092,sku11615803021727,CPO.PH
EZ.04.092,sku11615803021727,AMZ.PH
EZ.04.092,sku21615803021735,LZC.PH
EZ.04.092,sku21615803021735,CPO.PH
EZ.04.092,sku21615803021735,AMZ.PH
PH05002,sku01615859658362,LZC.PH
EZ.04.106,sku01615861449607,MPH.21
EZ.04.074,sku01615951415940,ARN.TH
EZ.04.074,sku11615951415947,ARN.TH
EZ.04.074,sku21615951415952,ARN.TH
EZ.04.074,sku31615951415958,ARN.TH
EZ.04.075,sku01615956547536,EZT.TH
EZ.04.082.ID,sku01615976930343,CPO.ID
PH09023,sku01616034519750,ARN06
PH09023,sku01616034519750,ARN-TWB.PH
PH09023,sku01616034519750,ARN-BD.PH
PH09023,sku01616034519750,ARN-BG.PH
PH09023,sku01616034519750,ARN.PH
ID05007,sku01616038528425,CPO.ID
EZ.04.076,sku01616052655858,MTH.15
EZ.04.076,sku01616052655858,MTH.13
EZ.04.076,sku01616052655858,CPO.TH
EZ.04.076,sku01616052655858,AMZ.TH
EZ.04.076,sku01616052655858,LZC.TH
EZ.04.076,sku01616052655858,EZT.TH
EZ.04.076,sku11616052655862,MTH.15
EZ.04.076,sku11616052655862,MTH.13
EZ.04.076,sku11616052655862,CPO.TH
